STITCH ID	Drug status	Phase	CGE	OGE	Network	Expression	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00002678	approved	Phase 4	-1.961185233672122	0.7306666666666666	0.40151208377529585	0.3092656414339086	388.8878	3.024	1.0	5.0	53.01	0.0	2.0	8.0	113.7258	1.0	1.0	1.0	0.704339580850863
CIDs00002682	approved	Phase 4	-1.7272187441764995	1.6792500000000001	0.2744761964185437	0.742448334882926	242.44056	5.46	1.0	1.0	20.23	0.0	0.0	14.0	80.1878	0.0	0.0	0.0	0.400964339995486
CIDs00002683	approved	Phase 4	-2.263105504901899	1.5943333333333332	0.24274477790949991	0.23092179657741352	304.53312	6.4554	0.0	0.0	3.88	1.0	1.0	15.0	102.138	0.0	0.0	0.0	0.258614854109793
CIDs00002707	approved	Phase 4	-2.045249349609815	0.644111111111111	0.3601620067062758	0.3329552575195667	165.40302	0.6673	2.0	2.0	40.46	0.0	0.0	1.0	28.4776	1.0	0.0	1.0	0.44278632113908
CIDs00002710	unapproved	Phase 1	-2.416102777274124	0.8400000000000001	0.1956725109710696	0.4304449993052106	300.82574	3.5526	0.0	2.0	6.48	0.0	2.0	3.0	96.448	1.0	1.0	1.0	0.855129005534836
CIDs00002712	approved	Phase 4	-2.1572308646133673	1.3973333333333333	0.23924370680033	0.123549712773371	301.77074	2.8416	3.0	3.0	68.47	0.0	2.0	2.0	93.5019	1.0	1.0	1.0	0.747181789784238
CIDs00002717	approved	Phase 4	-1.9467119180770327	0.4639999999999999	0.4169787442024916	0.720171970072492	273.73588	2.6342	0.0	4.0	62.83	0.0	1.0	1.0	69.507	1.0	0.0	1.0	0.789012834192867
CIDs00002719	approved	Phase 4	-2.0748534373966296	1.1387727272727275	0.5314785938879656	0.48365779477418536	319.87214	4.8836	1.0	3.0	28.16	0.0	3.0	8.0	97.4107	1.0	1.0	1.0	0.640831833038729
CIDs00002720	approved	Phase 4	-2.2027734521597924	0.9871428571428572	0.399421393065868	0.3070628359807192	295.72324	2.5654	2.0	7.0	135.45	0.0	1.0	1.0	67.8711	1.0	0.0	1.0	0.812002562247721
CIDs00002725	approved	Phase 4	-2.150063488006072	1.085181818181818	0.3826165315726681	0.2652655937877601	274.78846	3.8186	0.0	2.0	16.13	0.0	2.0	5.0	80.824	1.0	0.0	1.0	0.824002502229521
CIDs00002726	approved	Phase 4	-2.0153696262383534	1.0696333333333337	0.37601991777763905	0.3732733904297294	318.86416	4.9594	0.0	2.0	31.78	0.0	2.0	4.0	95.079	1.0	1.0	1.0	0.797616979938003
CIDs00002727	approved	Phase 4	-1.9894277042405413	1.0033333333333334	0.38695243443356003	0.2862050235115688	276.73982	3.6005	2.0	5.0	83.65	0.0	1.0	6.0	65.1594	1.0	0.0	1.0	0.829189077934104
CIDs00002732	approved	Phase 4	-2.0951666386264955	0.932142857142857	0.2184528934803472	0.3164764274063176	338.76614	3.0341	3.0	6.0	117.87	0.0	2.0	2.0	82.9344	1.0	1.0	1.0	0.774133858170893
CIDs00002733	approved	Phase 4	-2.302676588358126	0.8546666666666667	0.42041138911420317	0.2978549843080484	169.56516	1.7745	1.0	2.0	46.0	0.0	3.0	0.0	41.8447	1.0	0.0	1.0	0.557649064008876
CIDs00002746	unapproved	Phase 3	-1.767145033636807	1.591	0.9774151951914478	0.8281641516059989	269.2985	3.2067	3.0	5.0	84.22	0.0	2.0	5.0	79.3733	1.0	1.0	1.0	0.725725282649099
CIDs00002749	approved	Phase 4	-1.8710974090649513	1.4158571428571427	0.5418260851479795	0.5618203536081311	207.26888	2.4417	1.0	3.0	42.23	0.0	1.0	1.0	60.0977	1.0	0.0	1.0	0.719080099671081
CIDs00002754	approved	Phase 4	-2.1097285099657537	1.3287241379310344	0.5454716107660277	0.5064701899092869	369.46068	3.6027	1.0	7.0	81.93	0.0	2.0	7.0	106.4997	1.0	1.0	1.0	0.746708823395851
CIDs00002756	approved	Phase 4	-2.1767334774059726	0.8975833333333332	0.3603698966327654	0.32012415985076914	252.33924	1.37918	3.0	6.0	114.19	0.0	1.0	7.0	69.1831	1.0	0.0	1.0	0.221933040156974
CIDs00002758	unapproved	Phase 3	-2.079314010898098	0.81975	0.4471457020444667	0.2268113018638308	154.24932	2.7441	0.0	1.0	9.23	0.0	0.0	0.0	47.117	1.0	0.0	1.0	0.52102056217159
CIDs00002762	approved	Phase 4	3.188448720591075	1.708	0.6922669037665606	0.3111417899496354	262.2182	0.8433	1.0	7.0	90.65	0.0	4.0	2.0	65.0943	1.0	0.0	1.0	0.57205411417288
CIDs00002763	approved	Phase 4	-2.1265943858626675	0.9712666666666666	0.46950353916654525	0.3831496968638112	289.15446	3.5898	1.0	3.0	46.53	0.0	1.0	4.0	71.2608	1.0	0.0	1.0	0.861533469627476
CIDs00002764	approved	Phase 4	-1.5686599501999832	1.095655172413793	0.47138053672358937	0.46444717845631217	331.3415232	1.9771	2.0	6.0	74.57	0.0	3.0	3.0	95.246	1.0	1.0	1.0	0.764359419474683
CIDs00002769	approved	Phase 4	-1.9147610889531865	1.026391304347826	0.37166173386757667	0.23288713466418615	465.9454632	4.2681	2.0	7.0	86.05	0.0	2.0	10.0	125.5536	1.0	1.0	1.0	0.400026129638504
CIDs00002771	approved	Phase 4	-2.074586891888789	0.9761219512195122	0.39270707814709027	0.31070693558398416	324.3919432	3.81298	0.0	3.0	36.26	0.0	2.0	5.0	91.319	1.0	1.0	1.0	0.838869474576222
CIDs00002780	approved	Phase 4	-2.2211070779181497	0.9606666666666666	0.33345912799927896	0.15257013428616795	373.87646	4.2352	2.0	5.0	67.59	0.0	2.0	6.0	108.5636	1.0	1.0	1.0	0.74127168894586
CIDs00002782	unapproved	Phase 2	-1.8154542943077328	1.1920000000000002	0.2696528254404026	0.12041680111700954	325.8352	4.2717	0.0	3.0	21.06	0.0	5.0	4.0	99.383	1.0	1.0	1.0	0.492112049691568
CIDs00002783	approved	Phase 4	-2.212627302415456	1.2264666666666666	0.4740962334394043	0.389726756372039	277.19012	3.9692	3.0	3.0	58.28	0.0	1.0	4.0	73.8689	1.0	0.0	1.0	0.729712627386363
CIDs00002784	approved	Phase 4	-2.3452271543461993	1.7650000000000001	0.33536334518832805	0.2328851378194401	352.44674	2.6633	1.0	3.0	46.53	1.0	2.0	5.0	105.1278	1.0	1.0	1.0	0.664731989711845
CIDs00002789	approved	Phase 4	-2.150056526866018	1.629	0.3697720513300472	0.2337105964292993	300.73962	3.5012	0.0	3.0	40.62	0.0	2.0	1.0	89.067	1.0	1.0	1.0	0.756869898094121
CIDs00002794	approved	Phase 4	-1.924571956016872	1.107888888888889	0.4208621215587586	0.39445147890483034	473.39638	7.5628	1.0	3.0	42.21	0.0	8.0	4.0	138.2967	0.0	0.0	1.0	0.268297403823412
CIDs00002795	approved	Phase 4	-2.416102777274124	0.8400000000000001	0.1956725109710696	0.4304449993052106	289.7998	3.5276	1.0	2.0	23.47	0.0	2.0	5.0	84.0738	1.0	1.0	1.0	0.910145739988075
CIDs00002796	approved	Phase 4	-1.9128524145848576	1.0269000000000001	0.4533747599536895	0.4605545445708402	242.6987	3.0605	0.0	3.0	35.53	0.0	1.0	5.0	63.302	1.0	0.0	1.0	0.744789955083307
CIDs00002801	approved	Phase 4	-2.091459232229096	1.1709333333333334	0.33781826154475436	0.3249498436109061	314.85232	4.5934	0.0	1.0	6.48	0.0	6.0	4.0	98.774	1.0	1.0	1.0	0.461039649047032
CIDs00002802	approved	Phase 4	-2.0173108333078447	1.2199999999999998	0.2924371893263451	0.3774795059174448	317.72708	2.6107	3.0	3.0	102.61	0.0	2.0	2.0	91.6449	1.0	1.0	1.0	0.74163897699091
CIDs00002803	approved	Phase 4	-1.9386765085335935	1.0140357142857144	0.33884194306037135	0.3563685207557308	230.09386	2.8313	2.0	3.0	36.42	0.0	1.0	1.0	66.6044	1.0	0.0	1.0	0.77822967475538
CIDs00002809	approved	Phase 4	-2.048384222471525	1.0465	0.3933753977662694	0.4769412832508957	314.72314	2.1563	2.0	5.0	78.76	0.0	2.0	2.0	89.6285	1.0	1.0	1.0	0.830468265194668
CIDs00002811	approved	Phase 4	-2.1866852092852143	1.3313125000000001	0.322670181568603	0.2790011048252557	318.8211	3.2783	0.0	4.0	60.91	0.0	2.0	2.0	95.601	1.0	1.0	1.0	0.85221486565847
CIDs00002812	approved	Phase 4	-2.054119003900758	0.887	0.41892098750026	0.3385131796164712	344.83678	5.3767	0.0	2.0	17.82	0.0	4.0	4.0	101.843	0.0	1.0	1.0	0.462640815557962
CIDs00002818	approved	Phase 4	-2.0208586859819495	1.1782750000000006	0.3896314760508307	0.3727821555256222	326.82326	3.1721	1.0	3.0	30.87	0.0	2.0	1.0	110.0537	1.0	1.0	1.0	0.872959221424402
CIDs00002881	approved	Phase 4	-2.2587412621366214	1.0005000000000002	0.3876266482602275	0.434842550027176	468.36654	2.1145	3.0	11.0	173.71	0.0	6.0	8.0	115.7254	0.0	0.0	0.0	0.298372782296689
CIDs00002893	approved	Phase 4	-1.9794199081598363	1.1455	0.4624255943096026	0.4145669857581054	276.37066	3.478	1.0	3.0	46.53	0.0	1.0	4.0	79.5508	1.0	1.0	1.0	0.856400613223966
CIDs00002895	approved	Phase 4	-2.295882219150072	1.0655000000000001	0.33974392171543855	0.17745211144134185	275.38744	4.5538	0.0	1.0	3.24	0.0	6.0	3.0	92.072	1.0	1.0	1.0	0.457657989954612
CIDs00002898	approved	Phase 4	-1.49913122056451	1.755	0.4086130696116969	0.501526795601849	364.43426	5.3032	0.0	4.0	52.6	0.0	3.0	6.0	105.939	0.0	1.0	1.0	0.439655242123856
