STITCH ID	Drug status	Phase	CGE	OGE_CGE	Chemical	OGE	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs24795088	unapproved	Phase 3	0.3140079207920792	0.2168218019604158	0.2501623762376238	0.2579009900990099	0.0980148750589344	0.1552475247524752
CIDs24800541	unapproved	Phase 1	0.2053592233009709	0.0253563106796116	0.4170610725843736	0.0006579056865464	0.1722507050167346	0.1968932038834951
CIDs24802842	unapproved	Phase 1	0.5639491229256856	0.5200066599777539	0.727631994047619	0.5018032895923522	0.5826662318873258	0.72171875
CIDs24812758	approved	Phase 4	0.0235407392545033	0.5688483428556462	0.372183012306046	0.9838202247191012	0.595391933877608	0.3733932584269663
CIDs24821094	approved	Phase 4	0.4397851851851851	0.8769549598549597	0.1362824786324786	0.6430479955229955	0.6353628698224852	0.4114102564102563
CIDs24831714	approved	Phase 4	0.1494885907055919	0.6000764943736818	0.346433543417367	0.4246117647058823	0.678520643782618	0.4778176470588235
CIDs24836820	unapproved	Phase 2	0.0997608695652173	0.7634645703933747	0.2945542443064182	0.6349130434782608	0.5897337412889043	0.4407282608695652
CIDs24856041	unapproved	Phase 1	0.01081	0.27684	0.15145	0.11424	0.0253507961760461	0.05709
CIDs24856436	unapproved	Phase 2	0.17198	0.28481	0.0916884999999999	0.5381054047619047	0.4600345007215007	0.1368066666666666
CIDs24857286	unapproved	Phase 3	0.9876129032258064	0.6454681259600614	0.1094034050179211	0.4358029765165314	0.358667343805089	0.1424946236559139
CIDs24864821	unapproved	Phase 2	0.0132564102564102	0.0046411935286935	0.2237217948717948	0.1031702308215123	0.0029983238983238	0.0498461538461538
CIDs24868177	unapproved	Phase 1	0.3402424242424242	0.5782662497995831	0.5135555555555555	0.6646606060606061	0.6243679282048231	0.4613636363636363
CIDs24871506	unapproved	Phase 3	0.1888333333333333	0.4734789915966386	0.2174370292561469	0.0194988046675546	0.1830856146032616	0.118313725490196
CIDs24872560	approved	Phase 4	0.3571566202069159	0.3542170476308976	0.5401326878944349	0.3053321047311056	0.352675495708924	0.210855421686747
CIDs24895172	unapproved	Phase 2	0.30538735815276	0.2911378045813314	0.3902481717687074	0.2882764525405151	0.2865384136696637	0.3951071428571429
CIDs24946280	unapproved	Phase 2	0.2486931818181818	0.290530762987013	0.486224053030303	0.135375	0.2105999579353356	0.4836988636363636
CIDs24963252	unapproved	Phase 1	0.6259666666666667	0.763438161018758	0.2192372222222222	0.0141888888888889	0.2631173227167473	0.1466555555555555
CIDs24963293	unapproved	Phase 2	0.3497301706349205	0.3455338373015872	0.383767119047619	0.3324001706349206	0.3896638323744968	0.2307
CIDs24964624	unapproved	Phase 2	0.8980777777777778	0.7483666313932981	0.1167222222222222	0.3776528751803751	0.4590611111111111	0.0748999999999999
CIDs24965990	approved	Phase 4	0.1875495396333464	0.1570054636335886	0.232630275974026	0.1683606211339165	0.1009850927704203	0.2483920454545454
CIDs24978538	unapproved	Phase 3	0.58682	0.43576	0.4514195	0.81416	0.5780595119047619	0.43137
CIDs24988881	unapproved	Phase 1	0.8164019607843137	0.3319411764705882	0.4545120798319327	0.9065981559290384	0.4552781862745098	0.3468235294117647
CIDs24995523	unapproved	Phase 1	0.4859325501253133	0.0557028125870231	0.1928796052631579	0.5437198375624896	0.2231379604070394	0.1345372807017543
CIDs24996872	unapproved	Phase 2	0.1153198200881687	0.2420597482028674	0.2853739187418087	0.3768867518312473	0.2133147063864832	0.3548073394495413
CIDs25019940	unapproved	Phase 2	0.869816513761468	0.8528908882402002	0.363961129314111	0.4413302752293577	0.8139976173546128	0.4615412844036697
CIDs25022339	unapproved	Phase 3	0.0028202247191011	0.0105093632958801	0.2064676029962546	0.3591336543606206	0.2150439272338148	0.1542696629213483
CIDs25022353	unapproved	Phase 3	0.000701030927835	0.0003298969072164	0.3861952626411389	0.0953932104986869	0.0011324742268041	0.2390721649484536
CIDs25027363	unapproved	Phase 3	0.143021505376344	0.7009155913978494	0.2400088581669226	0.6741881720430107	0.7521985078392337	0.5408817204301075
CIDs25033539	unapproved	Phase 2	0.0143461538461538	0.0060729166666666	0.2534543269230769	0.0234681758946182	0.001345155965829	0.0179230769230769
CIDs25062766	unapproved	Phase 3	0.9777545454545454	0.3625523543880362	0.1778369696969697	0.1861925613275613	0.2952669089270017	0.1401
CIDs25066467	unapproved	Phase 2	0.2087052631578947	0.5012532160821634	0.2694105263157895	0.2127578947368421	0.2814227910101594	0.1151263157894736
CIDs25067547	unapproved	Phase 1	0.1807755102040816	0.0254253401360544	0.5114183673469388	0.000666156462585	0.1774256582186654	0.2453163265306122
CIDs25070031	unapproved	Phase 1	0.8440561797752808	0.2662679369319818	0.5885354824326735	0.9801989964467492	0.6076652763902765	0.7505668539325843
CIDs25074886	approved	Phase 4	0.8175416666666666	0.4428847222222222	0.695324074074074	0.0084583333333333	0.2777493441358025	0.4599444444444444
CIDs25099191	unapproved	Phase 3	0.3424984565495553	0.2778145093612126	0.3211385269492413	0.1619141496629139	0.3029061104036378	0.202021978021978
CIDs25109292	unapproved	Phase 2	0.9092395327461654	0.849257452629342	0.457608843537415	0.7267134706563279	0.452057130582003	0.193734693877551
CIDs25115162	unapproved	Phase 2	0.994548311184939	0.4771198078962321	0.4855344684385382	0.1429767441860465	0.4654530727233702	0.2721511627906977
CIDs25128145	unapproved	Phase 2	0.5534104951154456	0.5193010226572108	0.2993351013672796	0.5320419902704556	0.4510200405480108	0.4230891089108911
